model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,3,1,test,0.08321715891361237,1.3428183365249424e-07,0.04139680042862892,0.027799632400274277,0.13917890191078186,0.07900166511535645,0.1420966796875,0.08321715891361237
RegretNetSystem,5,4,1,train,0.06216726824641228,1.0216982104793715e-07,0.0309141818434,0.020601173862814903,0.10369134694337845,42.77019286155701,0.15846484375,0.06216726824641228
RegretNetSystem,5,4,1,test,0.06172233447432518,1.3396889642081078e-07,0.03115476481616497,0.02020157501101494,0.1036924347281456,0.0805501937866211,0.1421015625,0.06172233447432518
RegretNetSystem,5,3,1,train,0.03979944810271263,0.0358588881790638,0.035409845411777496,0.006763099227100611,0.10117775201797485,41.37121939659119,0.158458984375,inf
RegretNetSystem,5,3,1,test,0.0826195701956749,0.0012707373825833201,0.04179304093122482,0.026829097419977188,0.13895080983638763,0.07498288154602051,0.1420966796875,0.0826195701956749
RegretNetSystem,5,4,1,train,0.030975453555583954,0.05028088390827179,0.025549786165356636,0.0051429299637675285,0.07276925444602966,41.81665110588074,0.15846484375,inf
RegretNetSystem,5,4,1,test,0.12115754932165146,0.03099774569272995,0.061699774116277695,0.04001479223370552,0.20601455867290497,0.07921004295349121,0.1421015625,inf
RegretNetSystem,5,4,1,train,0.06285752356052399,5.438923755818337e-10,0.03143193572759628,0.021010424941778183,0.1056213527917862,41.45872116088867,0.1584658203125,0.06285752356052399
RegretNetSystem,5,4,1,test,0.06185319647192955,4.337989025771094e-07,0.031114278361201286,0.020433884114027023,0.1039360985159874,0.08421683311462402,0.1421015625,0.06185319647192955
RegretNetSystem,5,4,1,train,0.06368166953325272,1.9371509951682242e-10,0.03164852783083916,0.021073060110211372,0.10591000318527222,44.125868797302246,0.1584658203125,0.06368166953325272
RegretNetSystem,5,4,1,test,0.06223065033555031,4.284083920946813e-10,0.030763056129217148,0.0211139228194952,0.10379961878061295,0.07833027839660645,0.1421015625,0.06223065033555031
RegretNetSystem,5,4,1,train,0.06264628469944,8.755922920045123e-08,0.03149598464369774,0.020449699833989143,0.10519164055585861,44.184303522109985,0.15846484375,0.06264628469944
RegretNetSystem,5,4,1,test,0.06281889230012894,1.149177535353374e-07,0.030947115272283554,0.021295510232448578,0.10455335676670074,0.09507489204406738,0.1421015625,0.06281889230012894
RegretNetSystem,5,4,1,train,0.06283711642026901,0.0,0.03115086816251278,0.02107888087630272,0.10445855557918549,47.11009335517883,0.1584658203125,0.06283711642026901
RegretNetSystem,5,4,1,test,0.06241938844323158,1.487583034531781e-07,0.031255900859832764,0.02074846811592579,0.10480989515781403,0.0798485279083252,0.1421015625,0.06241938844323158
RegretNetSystem,5,4,1,train,0.06261829286813736,0.0,0.03092130646109581,0.021527066826820374,0.10461845993995667,40.47602081298828,0.15846484375,0.06261829286813736
RegretNetSystem,5,4,1,test,0.06138893961906433,9.993033745558932e-05,0.03110385686159134,0.020045800134539604,0.10353732854127884,0.07512593269348145,0.1421015625,0.06138893961906433
RegretNetSystem,5,4,1,train,0.06267725676298141,0.0,0.030995797365903854,0.02099844440817833,0.10399486124515533,5.643101930618286,0.1584638671875,0.06267725676298141
RegretNetSystem,5,4,1,test,0.06217481195926666,0.0,0.031046222895383835,0.02064863033592701,0.10421719402074814,0.08081722259521484,0.1421015625,0.06217481195926666
RegretNetSystem,5,4,1,train,0.056883081793785095,0.01042015291750431,0.03234334662556648,0.016202591359615326,0.10355541110038757,6.66507363319397,0.15846484375,inf
RegretNetSystem,5,4,1,test,0.08584997802972794,0.009343082085251808,0.045181166380643845,0.027473103255033493,0.1505415290594101,0.07450628280639648,0.1421015625,inf
RegretNetSystem,5,4,1,train,0.051386311650276184,0.005164163187146187,0.03593135625123978,0.007024164777249098,0.10298451036214828,54.52207612991333,0.158462890625,inf
RegretNetSystem,5,4,1,test,0.061648305505514145,0.005599880125373602,0.030888935551047325,0.02042688988149166,0.10340789705514908,0.10076141357421875,0.1421015625,inf
RegretNetSystem,5,4,1,train,0.052277982234954834,0.002012967597693205,0.037359818816185,0.005471828859299421,0.10589540749788284,50.29224228858948,0.1584638671875,0.052277982234954834
RegretNetSystem,5,4,1,test,0.05185132473707199,0.0024632096756249666,0.03686831146478653,0.005593244917690754,0.10423187166452408,0.08524847030639648,0.1421015625,0.05185132473707199
RegretNetSystem,5,4,1,train,0.052075162529945374,0.002717823488637805,0.036456093192100525,0.007071065716445446,0.10415609925985336,51.923794746398926,0.1584638671875,0.052075162529945374
RegretNetSystem,5,4,1,test,0.051847901195287704,0.00251182122156024,0.03640535846352577,0.00630014855414629,0.10402487963438034,0.0863339900970459,0.1421015625,0.051847901195287704
RegretNetSystem,5,4,1,train,0.04972399026155472,0.002646269043907523,0.037930723279714584,0.005050849635154009,0.10682982951402664,51.83899664878845,0.1584638671875,0.04972399026155472
RegretNetSystem,5,4,1,test,0.050890080630779266,0.00252842647023499,0.03857209160923958,0.005502001848071814,0.10870674252510071,0.09197115898132324,0.1421015625,0.050890080630779266
RegretNetSystem,5,4,1,train,0.04832058399915695,0.00380364409647882,0.03639676049351692,0.004590168595314026,0.101682148873806,48.90141201019287,0.158462890625,inf
RegretNetSystem,5,4,1,test,0.06234929338097572,0.0036732302978634834,0.03120698779821396,0.020490217953920364,0.1043374165892601,0.08704137802124023,0.1421015625,inf
RegretNetSystem,5,4,1,train,0.06229337304830551,2.184342338296119e-05,0.03133409842848778,0.0208101999014616,0.1048441231250763,51.486279249191284,0.1584638671875,0.06229337304830551
RegretNetSystem,5,4,1,test,0.06204251945018768,0.0002984793100040406,0.031194018200039864,0.020713094621896744,0.1041686087846756,0.0840907096862793,0.1421015625,0.06204251945018768
RegretNetSystem,5,4,1,train,0.05192895606160164,0.0030779808294028044,0.036068618297576904,0.00666338624432683,0.10318951308727264,51.21062183380127,0.1584638671875,inf
RegretNetSystem,5,4,1,test,0.052281029522418976,0.002809345256537199,0.03662070259451866,0.006176336202770472,0.10397599637508392,0.08927536010742188,0.1421015625,0.052281029522418976
RegretNetSystem,5,4,1,train,0.04099598526954651,0.013256034813821316,0.032934218645095825,0.006983248516917229,0.09283681958913803,56.920185565948486,0.158462890625,inf
RegretNetSystem,5,4,1,test,0.06115776672959328,0.01875367946922779,0.03019268624484539,0.020745189860463142,0.10219970345497131,0.08448958396911621,0.1421015625,inf
RegretNetSystem,5,4,1,train,0.04519559442996979,0.004633183125406504,0.03249761462211609,0.007945839315652847,0.09399697929620743,51.766886472702026,0.158462890625,inf
RegretNetSystem,5,4,1,test,0.05911102890968323,0.013731771148741245,0.030710451304912567,0.018688131123781204,0.10185779631137848,0.09048700332641602,0.1421015625,inf
RegretNetSystem,5,4,1,train,0.06285996735095978,0.0,0.031163975596427917,0.020787708461284637,0.1046270877122879,53.553340673446655,0.1584638671875,0.06285996735095978
RegretNetSystem,5,4,1,test,0.06240210309624672,0.0,0.03091922402381897,0.02090558223426342,0.10375455766916275,0.08535337448120117,0.1421015625,0.06240210309624672
RegretNetSystem,5,4,1,train,0.023409588262438774,0.0063216532580554485,0.028230421245098114,0.0030973597895354033,0.07747060805559158,52.50614142417908,0.158462890625,inf
